"","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14"
"1","ALPP","AZU1","BDKRB1","LOC100129243","ATP5A1","SEPT8","AMAC1L3","COMMD6","ACSL6","AFMID","AQP9","ABCB6","DHX37","MARCH7"
"2","BLZF1","BPI","BDNF","LOC100129685","ATP5F1","CD96","ANK3","LOC100127993","ADIPOR1","C1orf210","C10orf54","AURKA","DKFZp686O24166","CAB39"
"3","C2orf69","CD24","C14orf174","LOC100131672","ERP29","CYFIP2","C20orf62","LOC100129599","BCL2L1","GSDM1","CAP1","C6orf85","GPR183","CCDC128"
"4","DMC1","CEACAM6","CALN1","LOC100133329","LOC134997","DNMT1","EPHA8","LOC100130070","BCL2L13","KILLIN","DAZAP2","CCNB2","IL18BP","CCPG1"
"5","DUXAP3","CEACAM8","DSCAM","LOC100133773","LOC341457","FLJ10081","FIBCD1","LOC127295","CCNDBP1","LGMN","FGR","CDC20","KCNG2","DENND5A"
"6","FAM175A","CTSG","GPC6","LOC387753","LOC439953","HNRNPD","GJC2","LOC388339","CMAS","LOC100127915","FPR1","CDKN3","LOC100133972","FAM120A"
"7","GJC1","DEFA1","GPR109B","LOC390735","LOC653505","HNRPM","HDAC6","LOC402694","FAM10A7","LOC100128461","ITGB2","DLGAP5","LOC285205","FYB"
"8","HIATL2","DEFA1B","IGF2BP1","LOC440487","MDH1","IDH3B","HSFYP1","LOC441506","GABARAPL2","LOC100128485","LITAF","MGST3","LOC286297","LOC100129550"
"9","HSD17B7","DEFA3","KCNJ10","LOC442270","MRPL3","LOC389168","IGSF11","LOC643531","GLUL","LOC100129445","LYN","NCAPG","LOC388248","MMGT1"
"10","IL17RD","DEFA4","LOC100133478","LOC641750","NAT5","LPXN","KDM2B","LOC644907","HEMGN","LOC100129543","M6PRBP1","NUSAP1","LOC401588","NT5C2"
"11","KIAA1751","ELANE","LOC100133600","LOC642738","NDUFA12","MAGED1","LOC100130808","LOC647285","MPP1","LOC100132521","PRKCD","PRC1","LOC642441","NUMB"
"12","LOC100128505","FLJ41352","LOC392145","LOC643007","NGDN","PAICS","LOC388397","LOC651436","RNF11","LOC100132870","PRR13","PTTG1","LOC643577","PJA2"
"13","LOC100130168","HP","LOC642017","LOC648659","PPA1","PSCD1","LOC645339","LOC727865","RNF123","LOC100133568","RALB","PTTG3P","LOC652725","PPFIA1"
"14","LOC401098","LCN2","MAGEL2","LOC650739","PPIAL4A","PUM1","LOC646300","LOC728126","RNF14","LOC100134172","RHOG","RHAG","PPP1R15B","RAB10"
"15","LOC642947","LOC653600","MOSPD3","LOC653737","PSMA5","SFRS1","LOC649999","LOC728820","SEC14L1","LOC644019","S100A11","SLC2A1","PRSS36","RAB8B"
"16","LOC645452","MPO","PABPC5","LOC727821","RPAIN","ST6GAL1","LOC653034","LOC729340","UBAP1","LOC729652","SIRPA","SPTA1","PURG","REEP5"
"17","LOC90586","MS4A3","SERPING1","LOC728774","RPL22","TOP2B","LOC653673","RPL7A","UBE2H","PPFIBP1","SLC15A3","TFRC","TBC1D12","ROD1"
"18","LRRC37B2","PGLYRP1","SMARCA4","LOC729484","SPCS1","TRAF3IP3","MUSTN1","RPL9","UBQLN1","PPID","SPI1","TUBA1C","TCN2","RSBN1"
"19","MAGT1","RETN","USP48","RPL31P10","SSBP1","TTC4","RPS6KL1","RPS18","WBP2","PRIM2","WAS","UBE2C","UGT1A6","UBQLN2"
"20","SLC16A12","TCN1","WBP1","TMEM70","ZNF22","UNC84B","SLC25A45","SNHG6","ZMAT2","SNHG10","ZYX","YPEL4","ZNF807","VPS4B"
