"","logFC","P.Value","adj.P.Val","GSE39939FC","GSE39939Pval","GSE39939AdjPval","GSE39940FC","GSE39940Pval","GSE39940AdjPval"
"UBAP2L",-0.256254800776786,4.51213020787794e-05,0.192832773716096,0.0363859624850387,0.717952647152335,0.798848720070908,-0.197685861253092,0.000621633167168523,0.00185317057382314
"CD37",-0.307277650372504,4.54646801308328e-05,0.192832773716096,0.443059332752013,0.000572831711024711,0.00301691367806348,0.11156902492631,0.113811448632659,0.179822088839601
"LOC100130552",0.152831399025416,5.40400113169815e-05,0.192832773716096,NA,NA,NA,NA,NA,NA
"PEX6",0.132673022558136,9.26253996147483e-05,0.202587104508493,0.179848736110879,0.135074697416546,0.242520479452435,0.101222671630107,0.152763129057653,0.225657727348405
"FLJ37786",0.154517883035167,9.46226550716923e-05,0.202587104508493,NA,NA,NA,NA,NA,NA
"LOC644214",-0.114304824574142,0.000140696830881086,0.251026595763672,NA,NA,NA,NA,NA,NA
"LOC100129466",0.125765687901735,0.000176476698585828,0.269883294051613,NA,NA,NA,NA,NA,NA
"PRB3",0.161686854901849,0.000261547345352676,0.288684967246663,0.0396591562169674,0.435198949170708,0.563618311221081,0.039803182676858,0.104767448519854,0.167204614809464
"RPS6KB2",0.187004357399378,0.000307260295015602,0.288684967246663,0.110555091867337,0.165128830788366,0.268972734686204,0.213540695012652,5.43818404334112e-07,4.77351710471053e-06
"KIF6",0.10944971189648,0.000327027884437307,0.288684967246663,-0.0148601081418952,0.834439760502335,0.878943214395793,0.00995027466101194,0.795113667068538,0.848837563492088
"RTEL1",0.270559618262719,0.000336501978903639,0.288684967246663,-0.120206359933418,0.114834176254545,0.213456468802566,-0.0127429348769743,0.751256241651919,0.81861024952416
"KIAA0495",0.186834394552537,0.00035937428670374,0.288684967246663,NA,NA,NA,NA,NA,NA
"CXorf48",0.242525873707123,0.00036302042636213,0.288684967246663,NA,NA,NA,NA,NA,NA
"LOC100133678",-0.587794467856017,0.000377542227132487,0.288684967246663,NA,NA,NA,NA,NA,NA
"JARID2",-0.203296237527453,0.000462659193411781,0.304377129915195,0.0921582282745318,0.336006632429524,0.482627708398771,-0.0478529459860909,0.427132824072827,0.527242079714896
"SURF6",-0.163064977916271,0.000472669581858365,0.304377129915195,0.184634362294361,0.0392855876648782,0.100695872612231,0.167217251129171,0.0010542585358567,0.00297451515473855
"IWS1",-0.135398773951906,0.000483363961565467,0.304377129915195,0.156286945210703,0.146422077403498,0.248760088491964,-0.0729427820747884,0.152818840672654,0.225657727348405
"FLJ23584",0.157337281711012,0.000553269676320857,0.30888578657431,NA,NA,NA,NA,NA,NA
"INTS7",0.209412820810594,0.00058361061127163,0.30888578657431,-0.468732691037619,7.01776359539267e-05,0.000924005540060035,-0.28824590633282,4.13008069987107e-06,2.96614886627104e-05
"C19orf28",0.203202192394844,0.000592515044323126,0.30888578657431,NA,NA,NA,NA,NA,NA
"ZNF622",-0.209064612847946,0.000605941290804345,0.30888578657431,0.12014026904218,0.042922504446949,0.105964932853405,0.0389516577809609,0.299824303308707,0.390734973082614
"ARHGEF1",-0.156994785225526,0.000642247071783713,0.311637299940311,0.160152407595057,0.154955324778745,0.260456822500443,0.100807392696919,0.0333138222100237,0.0591413922380195
"LOC284422",0.485339996681393,0.000669561690670448,0.311637299940311,NA,NA,NA,NA,NA,NA
"XRCC5",-0.213562030990365,0.000972388404525914,0.380834040457206,0.200892596392074,0.000238716283578337,0.00219287454336687,0.133968081208561,0.00594344800005417,0.0130854097964738
"LOC644037",0.104323480890629,0.000983078843421556,0.380834040457206,NA,NA,NA,NA,NA,NA
"SIRPD",0.11715886322374,0.000991006792880296,0.380834040457206,-0.182984876082174,0.232826332516798,0.360652554290726,-0.334479750857247,0.000350552790472061,0.00111250044483994
"FAM3A",0.284635932584611,0.000993973291451052,0.380834040457206,0.187416043397129,0.0703549379060022,0.146801370264315,0.24343229907987,5.18559252148484e-08,1.02415452299326e-06
"CD74",-0.393807626306973,0.00107599757046129,0.380834040457206,0.512693675976022,0.000266034133280149,0.00219287454336687,0.316463937492801,3.96854828565152e-05,0.000188147773377325
"LOC345041",-0.22487455258577,0.0011584368711103,0.380834040457206,NA,NA,NA,NA,NA,NA
"MYL5",0.112423481531328,0.00118308702638476,0.380834040457206,0.332534802366534,0.0254392304458868,0.0756376156182335,0.244212648956839,0.00109663747886563,0.00303980213439946
"ZNF362",-0.164691491298965,0.00127118787486562,0.380834040457206,0.448347294917079,3.29693187003666e-05,0.000520915235465792,0.308222728381808,1.08825846828955e-07,1.45172238412212e-06
"CLEC12A",-0.474906462418582,0.00145426070407998,0.380834040457206,-0.322716293126632,0.2245114493201,0.354728089925758,0.173327281910754,0.234404884192823,0.324876944758473
"CUL4B",-0.120880167375685,0.00146699875170115,0.380834040457206,0.0794633071957419,0.37726253923885,0.510478952435037,-0.102127512174398,0.050083231368699,0.0869576984203785
"HLA-DOA",-0.160366067912969,0.00147077091015187,0.380834040457206,0.589816723129424,0.00101406940449256,0.0048552413912068,0.482122119022594,1.13572485691309e-06,9.4444488101194e-06
"SOCS7",0.115278190486549,0.00147986314129607,0.380834040457206,-0.0191157094932322,0.766044958790594,0.834724851647682,-0.0115444140839494,0.700881443826041,0.804307256716459
"LOC100129795",0.112185247776608,0.00153924344396725,0.380834040457206,NA,NA,NA,NA,NA,NA
"MED14",0.136360983841659,0.00159439424526988,0.380834040457206,0.125524514398632,0.0802637032463555,0.160527406492711,0.0922707549703036,0.00857711923658046,0.0180691311917295
"SUGT1L1",0.113795902476024,0.00162512827383218,0.380834040457206,NA,NA,NA,NA,NA,NA
"ARHGAP15",-0.235291991422447,0.001629780820745,0.380834040457206,0.241957438330015,0.000215422914224273,0.00213170752689898,0.0387479430266565,0.36435330560883,0.460542578289561
"FLJ37307",0.136252518366018,0.00164462871177672,0.380834040457206,NA,NA,NA,NA,NA,NA
"MGC72080",0.112955635479833,0.00166931349875424,0.380834040457206,NA,NA,NA,NA,NA,NA
"HLA-DMA",-0.273437457551176,0.00167310213513671,0.380834040457206,0.468985637154176,0.000939116881305879,0.00463688960144778,0.529837789846983,6.52076723577798e-11,3.4342707441764e-09
"HLA-DQA1",-0.554554474278898,0.00169192987962668,0.380834040457206,0.608384596806432,0.00169799990484079,0.00766525671328129,0.406385768579292,0.000944398090609824,0.0027129981512064
"ADPRH",0.0899765534240392,0.00169447055711481,0.380834040457206,-0.0617681714529291,0.528413871185889,0.637323600361606,-0.0164839457648095,0.737381165364291,0.81861024952416
"MLST8",0.202067498003115,0.001766974336565,0.380834040457206,0.0468911743975707,0.505841584031494,0.615396335811913,0.124922738889969,0.000559245253327405,0.0016992451928025
"FAM65A",-0.208996078478416,0.00179056660721185,0.380834040457206,0.0844256271056076,0.458434658359961,0.584134484039305,0.162766550544835,0.00495867934286025,0.0113546570459698
"LOC653080",-0.10118387224771,0.00179977726237279,0.380834040457206,NA,NA,NA,NA,NA,NA
"GHDC",-0.0949455945012905,0.0018029353099178,0.380834040457206,0.126453428568438,0.163894909579702,0.268972734686204,0.241031270741466,1.24185967057278e-06,9.81069139752496e-06
"STRN",0.203629804758563,0.00181177824122027,0.380834040457206,-0.151122709974187,0.00322979473959367,0.0118676178803674,-0.140889253958832,1.07224605660032e-05,6.27462507195743e-05
"LOC647450",-0.29689001761379,0.00181850370795825,0.380834040457206,NA,NA,NA,NA,NA,NA
"FBXL11",-0.201226774511466,0.00183378577045838,0.380834040457206,NA,NA,NA,NA,NA,NA
"SPNS3",0.101606004352379,0.00184991780511674,0.380834040457206,0.92152237790841,7.02600166336993e-07,5.55054131406224e-05,0.73287959073703,3.06103540338465e-10,1.20910898433694e-08
"C14orf121",0.138983797413508,0.00209221554880787,0.422580571926395,NA,NA,NA,NA,NA,NA
"PABPN1",-0.19943896516612,0.00213563861077848,0.422580571926395,0.144396019642353,0.0557992951743993,0.122648529329289,0.0598273228457208,0.139842933622203,0.213104688541789
"ROGDI",0.237486223705303,0.00219073324539044,0.422580571926395,-0.0436612114327694,0.754393826384273,0.827737670616077,-0.0911512107982351,0.29915958139016,0.390734973082614
"T-SP1",0.114401950946183,0.00230089877260986,0.422580571926395,NA,NA,NA,NA,NA,NA
"SUSD5",0.149650766628699,0.00233687305102249,0.422580571926395,-0.0464870557776859,0.704870745726002,0.789855161877364,-0.0248251101639928,0.674152110508991,0.783206128385446
"LRPPRC",0.142091226486542,0.00237029798432445,0.422580571926395,0.131890983014279,0.140701618814348,0.242932734858253,0.209876814081099,0.000116125929401204,0.000458697421134757
"DEFA1",-0.665245051450246,0.00237948183338122,0.422580571926395,-1.71696776001547,0.000451307492270806,0.00268819325945116,-1.08417931477384,8.47695126266737e-06,5.35743319800578e-05
"ZNF653",0.269003245664343,0.00241455563204712,0.422580571926395,-0.180027781876931,0.386171115547444,0.517076578444883,0.167925211773765,0.0569138145494086,0.0977432902044191
"SP110",-0.222279704194711,0.00244584475557527,0.422580571926395,0.0085189466891064,0.94560801038381,0.970169257406766,-0.260496257725302,0.000219315853829301,0.000770042331222879
"BAZ2A",0.269476603966444,0.00250512170154629,0.422580571926395,-0.0536718781399993,0.648791699646304,0.739109689434929,0.0675551406269517,0.301706751367588,0.390734973082614
"TTLL1",0.119826589468332,0.00251673328941327,0.422580571926395,0.16011158443556,0.0352598523844397,0.0960527013231288,0.114896855448222,0.00329779460212781,0.00801617764824913
"LYL1",0.279391978624123,0.00255144783488498,0.422580571926395,-0.0522305110565288,0.817629516895671,0.872601670720909,0.135799463878164,0.160590342201552,0.234937722850419
"LOC399491",0.119305186491005,0.00256587923168759,0.422580571926395,NA,NA,NA,NA,NA,NA
"LOC642113",-0.335464175451186,0.00274675991773402,0.434626722159158,NA,NA,NA,NA,NA,NA
"TMF1",-0.101381147868582,0.0027654155549288,0.434626722159158,0.0420307714535892,0.542689017928188,0.644698231824465,-0.0836496419606989,0.020024187611698,0.0385831907640035
"PALMD",0.149655804272608,0.00285958339322451,0.434626722159158,0.0379781564089137,0.577556582230789,0.670984852885769,-0.0144179463114602,0.661731013559161,0.774470371424796
"PPIG",-0.153853606555675,0.00290082748058252,0.434626722159158,-0.140117603322397,0.316491994567642,0.458768212309059,-0.182468976379318,0.00656170237944434,0.0142020407664686
"PLUNC",0.253031894221314,0.00293355133005754,0.434626722159158,NA,NA,NA,NA,NA,NA
"C17orf103",0.226213981347263,0.00300587443976217,0.434626722159158,NA,NA,NA,NA,NA,NA
"LOC642367",0.18455049417709,0.00301042377361637,0.434626722159158,NA,NA,NA,NA,NA,NA
"TWSG1",0.116708189207532,0.00302567069089157,0.434626722159158,-0.165137457899392,0.0131014879282529,0.0422456141359991,-0.0388724041271061,0.256778706171666,0.352791613696723
"LOC389293",0.320221608005199,0.00305833802566364,0.434626722159158,NA,NA,NA,NA,NA,NA
"LOC391692",0.132100333025202,0.00306347132152142,0.434626722159158,NA,NA,NA,NA,NA,NA
"NSUN5B",-0.111663949310535,0.00308562642541766,0.434626722159158,NA,NA,NA,NA,NA,NA
"API5",-0.173895179716066,0.00313093041661101,0.435280650776895,0.237853830107348,0.00380939326991208,0.0136791849237752,0.0880002294146308,0.0790390522311175,0.131454423710701
"CD38",0.106849851486977,0.00320786200556812,0.440128433923847,-0.354797892072258,0.239365072926125,0.367181374003181,-0.249314508030806,0.0932014036177029,0.150263487465276
"HLA-DPA1",-0.343805686579146,0.00327425104109186,0.440128433923847,0.467394479918836,0.00182090719589129,0.0079917593597451,0.375664930193102,1.03483282957152e-05,6.27462507195743e-05
"LOC388248",0.154539203336749,0.00336798414388533,0.440128433923847,NA,NA,NA,NA,NA,NA
"C3orf10",0.220865459703462,0.00337038573921157,0.440128433923847,NA,NA,NA,NA,NA,NA
"UBE2F",0.250762422990448,0.00342549919023112,0.440128433923847,-0.422145796990939,0.0025623869416986,0.0101214284197095,-0.204370572047796,0.00460825375095753,0.0110318801916862
"LGALS9",-0.214940714959864,0.00343353731688692,0.440128433923847,-0.00349842104863713,0.981137305047367,0.987386587245121,-0.261979963328279,0.00317651594817203,0.0078420237470497
"SPSB3",0.222318546770417,0.00345360004199936,0.440128433923847,0.0792880358031534,0.504335606771722,0.615396335811913,0.287335859031645,4.11062773280364e-07,3.82046577519397e-06
"MGC52498",0.0833582708641615,0.00351467282467462,0.442642030448727,NA,NA,NA,NA,NA,NA
"LOC648749",0.123166528664437,0.00363338611708571,0.444139920299779,NA,NA,NA,NA,NA,NA
"USPL1",-0.0881056761066451,0.00367037308360015,0.444139920299779,0.229705247066794,0.0407233358589162,0.102131540725536,0.150860029622542,0.0222284870829149,0.0418107257035781
"LPAR3",0.0947228119478638,0.00367549121255766,0.444139920299779,-0.119576578893717,0.133697154800702,0.242520479452435,-0.0607825849707662,0.188759494773106,0.271127274310461
"PSMB2",-0.215805886023994,0.00370853653278508,0.444139920299779,-0.129176173087277,0.277120993791224,0.413067141688805,0.00575210014303461,0.924175540977379,0.942062809512425
"NIPBL",-0.183070761116043,0.00378204760236006,0.444139920299779,-0.0337880300639494,0.822896512262123,0.872601670720909,-0.125101837393653,0.0802799614825233,0.132127436606653
"LOC100131381",0.130384290946707,0.00382854017177832,0.444139920299779,NA,NA,NA,NA,NA,NA
"IRF2BP2",-0.125543659470858,0.00384777184363259,0.444139920299779,0.151532636942342,0.0858670712896105,0.167493793379734,0.0898714594501614,0.049715585500761,0.0869576984203785
"TEX11",0.209820322164002,0.00387285234563875,0.444139920299779,-0.0666849373793323,0.354324787539021,0.499851039563976,0.0134641981250407,0.734647190203537,0.81861024952416
"CCDC6",-0.186966072266187,0.00392992498170358,0.444139920299779,0.156219262697391,0.0558897015437638,0.122648529329289,0.0592802739437473,0.184173830846263,0.266967571318436
"C7orf70",-0.181720109024959,0.00394145655567295,0.444139920299779,NA,NA,NA,NA,NA,NA
"VPREB3",-0.32054823705583,0.0040659936480126,0.453400645853905,1.07968615075185,0.00195577675089533,0.00814307143847226,0.699742636459414,0.000110160395920356,0.000446290834754263
"HLA-DRB4",-0.281660293854545,0.00420256178798666,0.463234664423735,0.5647272157429,0.0757452248829029,0.15542526664284,0.161539650401367,0.296316844037646,0.390734973082614
"MIR106A",0.109503001237853,0.0042407283618427,0.463234664423735,-0.0926165753004577,0.368506701314738,0.509243663318066,-0.0520315478176958,0.270591862468816,0.365414651880966
"LOC100129141",0.140595245373121,0.00432823606279842,0.467034323827827,NA,NA,NA,NA,NA,NA
"ZBTB44",0.218405480978845,0.00453643718589429,0.467034323827827,-0.428663766527932,0.0372367873898737,0.0997188543661025,-0.224885963412401,0.0124832440901068,0.0252865713620112
"DEFA3",-0.72297789299651,0.00453690610537744,0.467034323827827,-1.98136788566877,0.000355423941016507,0.00249364992222996,-1.26740304788523,6.86057402123257e-06,4.71291606675977e-05
"LOC441642",0.204923447294759,0.00465861266955771,0.467034323827827,NA,NA,NA,NA,NA,NA
"LOC387753",0.324340715778775,0.00467520485263327,0.467034323827827,NA,NA,NA,NA,NA,NA
"BTN3A2",-0.156928669257672,0.00468170126106722,0.467034323827827,0.231893255511001,0.0486285192125159,0.116413727811781,0.212963898091109,0.000911115758374642,0.00266585721894803
"IFITM3",-0.480185717263277,0.00469234693692986,0.467034323827827,-0.677000220775836,0.0121412394848514,0.0399649133043024,-0.422615530460967,0.0026722981048722,0.00681005000919045
"CD8B",-0.0991890510539992,0.004710012169363,0.467034323827827,0.0727925786528931,0.498400553203487,0.615396335811913,0.0644361232469527,0.345021141615027,0.439623712703019
"JARID1A",-0.192033698769013,0.00479055102919953,0.467034323827827,NA,NA,NA,NA,NA,NA
"C6orf176",0.149846288383791,0.00486180718505041,0.467034323827827,NA,NA,NA,NA,NA,NA
"CDYL2",0.120492241832331,0.0048851216692395,0.467034323827827,-0.0698319873963395,0.378012895157591,0.510478952435037,-0.100424333504193,0.0225912125962969,0.04199307753194
"ATPBD3",0.0987141566948488,0.00489522663304122,0.467034323827827,NA,NA,NA,NA,NA,NA
"LOC643873",-0.250259797476092,0.00490184168196007,0.467034323827827,NA,NA,NA,NA,NA,NA
"TRAPPC6B",0.185229792823689,0.00491482930002333,0.467034323827827,-0.249729454304646,0.0857713636990169,0.167493793379734,-0.289160546618162,5.20493287458169e-05,0.000234965541195402
"SCD",-0.153615618913121,0.0049299279395184,0.467034323827827,-0.456723847745355,0.0145349008803902,0.0450296929235617,-0.353262047192192,0.000371484890688477,0.00115087475938783
"LOC727732",0.123271186923277,0.00498125178846793,0.467757021013589,NA,NA,NA,NA,NA,NA
